BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,GHGEmissionsIntensity,Building_Age,Emissions_per_Surface,Energy_per_Surface,GFA-1use_ratio,GFA_per_Floor,Emissions_per_floor,Energy_per_floor,Elec_ratio,steam_ratio,NGas_ratio,District
NonResidential,Small- and Mid-Sized Office,3,23422,0,65.0,5.47,96,0.01,115.36,1.0,7807.33,42.69,900624.0,0.12,0.0,0.88,CENTRAL CITY
NonResidential,Other,2,38879,11328,0.0,0.74,41,0.0,86.72,1.0,19439.5,14.4,1685829.88,0.97,0.0,0.03,CENTRAL CITY
NonResidential,Mixed Use Property,5,53034,14625,93.0,1.58,18,0.0,63.96,0.42,10606.8,16.73,678425.8,0.62,0.0,0.38,CENTRAL CITY
NonResidential,Warehouse,2,61880,0,66.0,0.07,58,0.0,9.63,1.0,30940.0,2.08,297968.25,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,2,27938,0,97.0,0.26,91,0.0,36.77,0.5,13969.0,3.66,513697.16,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Other,2,21600,0,0.0,0.52,92,0.0,75.17,1.51,10800.0,5.66,811828.5,1.0,0.0,0.0,NORTH END
Nonresidential COS,Other,3,27908,0,0.0,2.27,87,0.0,72.67,0.78,9302.67,21.07,676041.88,0.48,0.0,0.52,NORTH END
Campus,K-12 School,2,30562,0,69.0,1.82,16,0.0,53.08,1.0,15281.0,27.86,811115.69,0.41,0.0,0.59,CENTRAL CITY
NonResidential,Retail Store,3,54969,0,67.0,0.72,16,0.0,67.75,1.0,18323.0,13.1,1241366.08,0.92,0.0,0.08,CENTRAL CITY
NonResidential,K-12 School,2,36825,0,0.0,1.39,65,0.0,47.66,1.2,18412.5,25.57,877536.38,0.52,0.0,0.48,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,3,25834,0,73.0,2.09,58,0.0,80.37,1.23,8611.33,18.01,692096.54,0.59,0.0,0.41,CENTRAL CITY
NonResidential,Other,1,37700,0,38.0,3.98,87,0.0,92.35,1.39,37700.0,150.23,3481727.5,0.22,0.0,0.78,CENTRAL CITY
SPS-District K-12,K-12 School,2,27273,0,90.0,1.71,91,0.0,46.15,1.0,13636.5,23.35,629309.56,0.35,0.0,0.65,CENTRAL CITY
NonResidential,Mixed Use Property,6,97229,0,100.0,0.07,12,0.0,10.51,0.47,16204.83,1.19,170292.45,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,3,25111,0,77.0,0.99,34,0.0,38.01,0.57,8370.33,8.32,318117.56,0.58,0.0,0.42,NORTH END
NonResidential,Other,2,31805,0,10.0,2.15,63,0.0,51.62,1.0,15902.5,34.2,820833.5,0.25,0.0,0.75,NORTH END
NonResidential,K-12 School,1,20811,0,95.0,2.11,63,0.0,60.9,1.0,20811.0,43.97,1267348.5,0.4,0.0,0.6,NORTH END
Nonresidential COS,Warehouse,2,22058,0,1.0,3.01,49,0.0,90.1,0.57,11029.0,33.22,993667.38,0.43,0.0,0.57,SOUTH END
NonResidential,Other,5,36000,0,0.0,1.2,109,0.0,30.87,1.0,7200.0,8.61,222258.75,0.31,0.0,0.69,SOUTH END
NonResidential,Other,1,28320,0,1.0,2.4,45,0.0,149.59,1.0,28320.0,67.96,4236396.5,0.8,0.0,0.2,SOUTH END
NonResidential,Other,1,29079,0,78.0,0.76,61,0.0,29.63,1.0,29079.0,22.18,861643.69,0.59,0.0,0.41,NORTH END
NonResidential,Small- and Mid-Sized Office,3,28848,9616,82.0,0.18,34,0.0,25.2,0.67,9616.0,1.69,242305.83,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,2,20535,0,7.0,1.89,28,0.0,89.4,0.66,10267.5,19.36,917902.0,0.69,0.0,0.31,NORTH END
NonResidential,Warehouse,1,30800,0,65.0,0.11,51,0.0,15.78,1.0,30800.0,3.39,485971.0,1.0,0.0,0.0,SOUTH END
NonResidential,Mixed Use Property,3,22168,0,0.0,2.23,116,0.0,80.49,0.5,7389.33,16.48,594795.08,0.55,0.0,0.45,CENTRAL CITY
NonResidential,Warehouse,1,37400,0,73.0,0.21,94,0.0,24.71,0.73,37400.0,7.8,924192.69,0.97,0.0,0.03,SOUTH END
NonResidential,Small- and Mid-Sized Office,11,68452,0,79.0,0.39,16,0.0,55.26,0.9,6222.91,2.4,343852.57,1.0,0.0,0.0,CENTRAL CITY
NonResidential,K-12 School,3,97500,0,97.0,1.6,92,0.0,38.33,1.0,32500.0,52.15,1245653.33,0.24,0.0,0.76,NORTH END
NonResidential,Small- and Mid-Sized Office,5,54015,0,75.0,0.39,34,0.0,55.91,1.0,10803.0,4.21,604000.3,1.0,0.0,0.0,NORTH END
Nonresidential COS,Other,1,24697,0,0.0,1.18,51,0.0,52.46,0.62,24697.0,29.18,1295685.75,0.66,0.0,0.34,NORTH END
NonResidential,University,1,57468,0,0.0,1.56,3,0.0,61.67,1.18,57468.0,89.8,3543985.5,0.6,0.0,0.4,CENTRAL CITY
NonResidential,Retail Store,3,103000,0,89.0,0.79,25,0.0,50.63,1.0,34333.33,27.06,1738207.17,0.81,0.0,0.19,CENTRAL CITY
NonResidential,Retail Store,4,34010,0,0.0,0.73,10,0.0,104.69,1.13,8502.5,6.2,890153.56,1.0,0.0,0.0,NORTH END
NonResidential,Retail Store,3,45743,0,88.0,1.82,20,0.0,116.15,0.99,15247.67,27.82,1771072.33,0.81,0.0,0.19,CENTRAL CITY
NonResidential,Other,1,45000,0,0.0,3.06,25,0.0,77.9,1.0,45000.0,137.66,3505497.0,0.3,0.0,0.7,CENTRAL CITY
NonResidential,Warehouse,4,72859,0,55.0,0.17,112,0.0,20.57,1.0,18214.75,3.11,374614.47,0.97,0.0,0.03,SOUTH END
SPS-District K-12,K-12 School,2,138705,0,84.0,0.9,7,0.0,35.75,1.0,69352.5,62.38,2479649.0,0.61,0.0,0.39,SOUTH END
NonResidential,Mixed Use Property,3,21947,0,0.0,1.72,12,0.0,70.83,0.68,7315.67,12.61,518199.75,0.62,0.0,0.38,SOUTH END
NonResidential,Small- and Mid-Sized Office,6,73102,0,84.0,0.41,31,0.0,58.92,1.27,12183.67,5.0,717873.08,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Mixed Use Property,2,140823,59401,0.0,0.2,100,0.0,19.62,0.64,70411.5,14.42,1381423.0,0.92,0.0,0.08,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,1,26263,0,64.0,0.43,23,0.0,62.24,1.0,26263.0,11.4,1634669.38,1.0,0.0,0.0,CENTRAL CITY
Nonresidential COS,Other,1,21400,0,0.0,7.41,48,0.01,241.63,0.55,21400.0,158.6,5170809.5,0.49,0.0,0.51,CENTRAL CITY
NonResidential,Mixed Use Property,6,74211,0,97.0,0.13,114,0.0,18.29,0.45,12368.5,1.58,226186.65,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Warehouse,2,45700,0,99.0,0.34,28,0.0,33.79,6.43,22850.0,7.75,772096.88,0.93,0.0,0.07,SOUTH END
Nonresidential COS,Other,2,137138,0,0.0,0.28,4,0.0,39.93,1.01,68569.0,19.08,2737683.5,1.0,0.0,0.0,SOUTH END
NonResidential,Retail Store,3,43832,0,67.0,3.29,98,0.0,88.67,0.56,14610.67,48.14,1295515.0,0.35,0.0,0.65,NORTH END
NonResidential,Other,2,70292,0,37.0,0.82,8,0.0,27.51,1.0,35146.0,28.8,966905.81,0.51,0.0,0.49,NORTH END
NonResidential,K-12 School,2,35780,0,22.0,1.44,2,0.0,81.39,1.06,17890.0,25.8,1456132.0,0.77,0.0,0.23,CENTRAL CITY
NonResidential,Large Office,3,105061,28217,100.0,0.09,3,0.0,12.98,0.8,35020.33,3.17,454397.21,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,3,62662,14989,67.0,0.32,3,0.0,39.93,0.75,20887.33,6.7,834043.67,0.98,0.0,0.02,CENTRAL CITY
NonResidential,Other,4,62381,22948,62.0,0.39,3,0.0,56.06,0.97,15595.25,6.1,874303.88,1.0,0.0,0.0,NORTH END
NonResidential,K-12 School,2,48925,0,82.0,0.47,2,0.0,33.97,1.3,24462.5,11.38,831027.06,0.83,0.0,0.15,NORTH END
Nonresidential COS,Other,1,29000,0,0.0,1.9,54,0.0,83.77,0.87,29000.0,54.98,2429214.0,0.66,0.0,0.34,NORTH END
NonResidential,Large Office,7,333714,146687,0.0,0.13,2,0.0,13.73,0.57,47673.43,6.03,654499.0,0.95,0.0,0.05,SOUTH END
NonResidential,Other,2,56988,0,0.0,0.28,2,0.0,9.55,0.43,28494.0,8.06,272086.19,0.51,0.0,0.49,SOUTH END
Campus,University,2,149856,0,0.0,0.72,9,0.0,42.28,1.0,74928.0,53.64,3167657.75,0.78,0.0,0.22,SOUTH END
